Current time: 0
Waiting people:
>>1 -> (arrT: 55; servT: 3)
>>403 -> (arrT: 90; servT: 8)
>>404 -> (arrT: 13; servT: 4)
>>405 -> (arrT: 63; servT: 4)
>>406 -> (arrT: 50; servT: 5)
>>407 -> (arrT: 13; servT: 8)
>>408 -> (arrT: 89; servT: 8)
>>409 -> (arrT: 70; servT: 3)
>>410 -> (arrT: 33; servT: 6)
>>411 -> (arrT: 21; servT: 3)
>>412 -> (arrT: 43; servT: 8)
>>413 -> (arrT: 17; servT: 7)
>>414 -> (arrT: 84; servT: 7)
>>415 -> (arrT: 45; servT: 6)
>>416 -> (arrT: 55; servT: 3)
>>417 -> (arrT: 69; servT: 3)
>>418 -> (arrT: 48; servT: 6)
>>419 -> (arrT: 84; servT: 4)
>>420 -> (arrT: 50; servT: 4)
>>421 -> (arrT: 68; servT: 3)
>>422 -> (arrT: 17; servT: 3)
>>423 -> (arrT: 45; servT: 6)
>>424 -> (arrT: 49; servT: 6)
>>425 -> (arrT: 17; servT: 5)
>>426 -> (arrT: 56; servT: 5)
>>427 -> (arrT: 55; servT: 7)
>>428 -> (arrT: 39; servT: 5)
>>429 -> (arrT: 57; servT: 6)
>>430 -> (arrT: 29; servT: 8)
>>431 -> (arrT: 31; servT: 7)
>>432 -> (arrT: 27; servT: 8)
>>433 -> (arrT: 4; servT: 3)
>>434 -> (arrT: 46; servT: 6)
>>435 -> (arrT: 8; servT: 8)
>>436 -> (arrT: 20; servT: 8)
>>437 -> (arrT: 61; servT: 3)
>>438 -> (arrT: 61; servT: 6)
>>439 -> (arrT: 62; servT: 7)
>>440 -> (arrT: 55; servT: 8)
>>441 -> (arrT: 51; servT: 5)
>>442 -> (arrT: 43; servT: 5)
>>443 -> (arrT: 43; servT: 3)
>>444 -> (arrT: 47; servT: 7)
>>445 -> (arrT: 85; servT: 6)
>>446 -> (arrT: 61; servT: 4)
>>447 -> (arrT: 54; servT: 6)
>>448 -> (arrT: 23; servT: 3)
>>449 -> (arrT: 9; servT: 4)
>>450 -> (arrT: 3; servT: 4)
>>451 -> (arrT: 15; servT: 4)
>>452 -> (arrT: 13; servT: 7)
>>453 -> (arrT: 85; servT: 5)
>>454 -> (arrT: 68; servT: 3)
>>455 -> (arrT: 7; servT: 4)
>>456 -> (arrT: 66; servT: 8)
>>457 -> (arrT: 71; servT: 4)
>>458 -> (arrT: 13; servT: 4)
>>459 -> (arrT: 22; servT: 8)
>>460 -> (arrT: 57; servT: 7)
>>461 -> (arrT: 79; servT: 3)
>>462 -> (arrT: 75; servT: 8)
>>463 -> (arrT: 79; servT: 3)
>>464 -> (arrT: 82; servT: 6)
>>465 -> (arrT: 77; servT: 5)
>>466 -> (arrT: 67; servT: 8)
>>467 -> (arrT: 54; servT: 8)
>>468 -> (arrT: 41; servT: 7)
>>469 -> (arrT: 45; servT: 3)
>>470 -> (arrT: 88; servT: 4)
>>471 -> (arrT: 85; servT: 6)
>>472 -> (arrT: 18; servT: 4)
>>473 -> (arrT: 30; servT: 5)
>>474 -> (arrT: 10; servT: 6)
>>475 -> (arrT: 77; servT: 8)
>>476 -> (arrT: 47; servT: 5)
>>477 -> (arrT: 5; servT: 7)
>>478 -> (arrT: 21; servT: 4)
>>479 -> (arrT: 45; servT: 8)
>>480 -> (arrT: 90; servT: 8)
>>481 -> (arrT: 50; servT: 8)
>>482 -> (arrT: 42; servT: 6)
>>483 -> (arrT: 86; servT: 3)
>>484 -> (arrT: 61; servT: 6)
>>485 -> (arrT: 16; servT: 8)
>>486 -> (arrT: 69; servT: 5)
>>487 -> (arrT: 81; servT: 4)
>>488 -> (arrT: 27; servT: 3)
>>489 -> (arrT: 10; servT: 5)
>>490 -> (arrT: 67; servT: 8)
>>491 -> (arrT: 31; servT: 6)
>>492 -> (arrT: 9; servT: 8)
>>493 -> (arrT: 31; servT: 8)
>>494 -> (arrT: 27; servT: 3)
>>495 -> (arrT: 21; servT: 8)
>>496 -> (arrT: 71; servT: 5)
>>497 -> (arrT: 55; servT: 4)
>>498 -> (arrT: 55; servT: 5)
>>499 -> (arrT: 19; servT: 3)
>>500 -> (arrT: 65; servT: 7)
>>501 -> (arrT: 9; servT: 7)
>>502 -> (arrT: 84; servT: 4)
>>503 -> (arrT: 88; servT: 6)
>>504 -> (arrT: 24; servT: 7)
>>505 -> (arrT: 61; servT: 6)
>>506 -> (arrT: 80; servT: 7)
>>507 -> (arrT: 11; servT: 6)
>>508 -> (arrT: 36; servT: 6)
>>509 -> (arrT: 55; servT: 7)
>>510 -> (arrT: 58; servT: 6)
>>511 -> (arrT: 43; servT: 3)
>>512 -> (arrT: 24; servT: 5)
>>513 -> (arrT: 20; servT: 8)
>>514 -> (arrT: 15; servT: 7)
>>515 -> (arrT: 50; servT: 4)
>>516 -> (arrT: 85; servT: 6)
>>517 -> (arrT: 46; servT: 3)
>>518 -> (arrT: 34; servT: 8)
>>519 -> (arrT: 53; servT: 5)
>>520 -> (arrT: 74; servT: 6)
>>521 -> (arrT: 41; servT: 5)
>>522 -> (arrT: 52; servT: 4)
>>523 -> (arrT: 42; servT: 8)
>>524 -> (arrT: 9; servT: 5)
>>525 -> (arrT: 40; servT: 6)
>>526 -> (arrT: 33; servT: 5)
>>527 -> (arrT: 28; servT: 7)
>>528 -> (arrT: 24; servT: 6)
>>529 -> (arrT: 63; servT: 5)
>>530 -> (arrT: 82; servT: 8)
>>531 -> (arrT: 9; servT: 4)
>>532 -> (arrT: 64; servT: 3)
>>533 -> (arrT: 71; servT: 3)
>>534 -> (arrT: 41; servT: 5)
>>535 -> (arrT: 41; servT: 5)
>>536 -> (arrT: 71; servT: 3)
>>537 -> (arrT: 50; servT: 5)
>>538 -> (arrT: 80; servT: 7)
>>539 -> (arrT: 77; servT: 4)
>>540 -> (arrT: 50; servT: 4)
>>541 -> (arrT: 77; servT: 4)
>>542 -> (arrT: 27; servT: 6)
>>543 -> (arrT: 12; servT: 8)
>>544 -> (arrT: 45; servT: 8)
>>545 -> (arrT: 18; servT: 3)
>>546 -> (arrT: 29; servT: 4)
>>547 -> (arrT: 63; servT: 3)
>>548 -> (arrT: 12; servT: 3)
>>549 -> (arrT: 86; servT: 3)
>>550 -> (arrT: 71; servT: 5)
>>551 -> (arrT: 33; servT: 8)
>>552 -> (arrT: 7; servT: 6)
>>553 -> (arrT: 88; servT: 3)
>>554 -> (arrT: 2; servT: 5)
>>555 -> (arrT: 69; servT: 6)
>>556 -> (arrT: 16; servT: 7)
>>557 -> (arrT: 26; servT: 6)
>>558 -> (arrT: 70; servT: 5)
>>559 -> (arrT: 28; servT: 4)
>>560 -> (arrT: 29; servT: 6)
>>561 -> (arrT: 19; servT: 3)
>>562 -> (arrT: 51; servT: 7)
>>563 -> (arrT: 72; servT: 8)
>>564 -> (arrT: 67; servT: 6)
>>565 -> (arrT: 56; servT: 8)
>>566 -> (arrT: 40; servT: 7)
>>567 -> (arrT: 38; servT: 5)
>>568 -> (arrT: 78; servT: 7)
>>569 -> (arrT: 55; servT: 4)
>>570 -> (arrT: 67; servT: 3)
>>571 -> (arrT: 43; servT: 3)
>>572 -> (arrT: 57; servT: 8)
>>573 -> (arrT: 54; servT: 8)
>>574 -> (arrT: 2; servT: 8)
>>575 -> (arrT: 26; servT: 7)
>>576 -> (arrT: 21; servT: 5)
>>577 -> (arrT: 2; servT: 6)
>>578 -> (arrT: 34; servT: 3)
>>579 -> (arrT: 29; servT: 3)
>>580 -> (arrT: 30; servT: 4)
>>581 -> (arrT: 48; servT: 7)
>>582 -> (arrT: 44; servT: 4)
>>583 -> (arrT: 39; servT: 4)
>>584 -> (arrT: 75; servT: 3)
>>585 -> (arrT: 3; servT: 8)
>>586 -> (arrT: 65; servT: 3)
>>587 -> (arrT: 34; servT: 3)
>>588 -> (arrT: 45; servT: 7)
>>589 -> (arrT: 16; servT: 7)
>>590 -> (arrT: 38; servT: 4)
>>591 -> (arrT: 57; servT: 4)
>>592 -> (arrT: 72; servT: 7)
>>593 -> (arrT: 86; servT: 3)
>>594 -> (arrT: 44; servT: 4)
>>595 -> (arrT: 81; servT: 4)
>>596 -> (arrT: 54; servT: 6)
>>597 -> (arrT: 36; servT: 5)
>>598 -> (arrT: 87; servT: 3)
>>599 -> (arrT: 53; servT: 8)
>>600 -> (arrT: 23; servT: 6)
>>601 -> (arrT: 30; servT: 8)
>>602 -> (arrT: 48; servT: 4)
>>603 -> (arrT: 74; servT: 6)
>>604 -> (arrT: 35; servT: 8)
>>605 -> (arrT: 70; servT: 7)
>>606 -> (arrT: 25; servT: 4)
>>607 -> (arrT: 68; servT: 7)
>>608 -> (arrT: 90; servT: 8)
>>609 -> (arrT: 43; servT: 7)
>>610 -> (arrT: 24; servT: 8)
>>611 -> (arrT: 29; servT: 3)
>>612 -> (arrT: 64; servT: 8)
>>613 -> (arrT: 5; servT: 7)
>>614 -> (arrT: 66; servT: 8)
>>615 -> (arrT: 25; servT: 8)
>>616 -> (arrT: 82; servT: 8)
>>617 -> (arrT: 47; servT: 6)
>>618 -> (arrT: 85; servT: 5)
>>619 -> (arrT: 88; servT: 6)
>>620 -> (arrT: 79; servT: 4)
>>621 -> (arrT: 45; servT: 5)
>>622 -> (arrT: 58; servT: 3)
>>623 -> (arrT: 80; servT: 8)
>>624 -> (arrT: 47; servT: 6)
>>625 -> (arrT: 10; servT: 4)
>>626 -> (arrT: 25; servT: 5)
>>627 -> (arrT: 62; servT: 8)
>>628 -> (arrT: 29; servT: 6)
>>629 -> (arrT: 17; servT: 4)
>>630 -> (arrT: 78; servT: 6)
>>631 -> (arrT: 75; servT: 4)
>>632 -> (arrT: 38; servT: 3)
>>633 -> (arrT: 5; servT: 6)
>>634 -> (arrT: 59; servT: 6)
>>635 -> (arrT: 60; servT: 3)
>>636 -> (arrT: 40; servT: 6)
>>637 -> (arrT: 15; servT: 5)
>>638 -> (arrT: 67; servT: 3)
>>639 -> (arrT: 58; servT: 3)
>>640 -> (arrT: 25; servT: 8)
>>641 -> (arrT: 87; servT: 7)
>>642 -> (arrT: 85; servT: 4)
>>643 -> (arrT: 45; servT: 5)
>>644 -> (arrT: 1; servT: 4)
>>645 -> (arrT: 44; servT: 4)
>>646 -> (arrT: 79; servT: 8)
>>647 -> (arrT: 84; servT: 6)
>>648 -> (arrT: 16; servT: 6)
>>649 -> (arrT: 30; servT: 8)
>>650 -> (arrT: 37; servT: 8)
>>651 -> (arrT: 89; servT: 8)
>>652 -> (arrT: 14; servT: 6)
>>653 -> (arrT: 10; servT: 7)
>>654 -> (arrT: 30; servT: 5)
>>655 -> (arrT: 63; servT: 8)
>>656 -> (arrT: 63; servT: 4)
>>657 -> (arrT: 68; servT: 8)
>>658 -> (arrT: 45; servT: 8)
>>659 -> (arrT: 23; servT: 5)
>>660 -> (arrT: 12; servT: 3)
>>661 -> (arrT: 80; servT: 8)
>>662 -> (arrT: 45; servT: 4)
>>663 -> (arrT: 66; servT: 5)
>>664 -> (arrT: 64; servT: 5)
